gvkey,fyear,enp_share
002702,1978.0,1.0
002727,1977.0,1.0
002727,1978.0,1.0
002727,1979.0,1.0
002727,1980.0,1.0
002727,1981.0,1.0
002727,1982.0,1.0
002727,1983.0,1.0
002727,1984.0,1.0
002727,1985.0,1.0
002727,1986.0,1.0
002727,1987.0,1.0
002769,1981.0,1.0
002769,1982.0,1.0
002769,1983.0,1.0
002769,1984.0,1.0
002769,1985.0,1.0
002774,1981.0,1.0
002774,1982.0,1.0
002774,1983.0,1.0
002774,1984.0,1.0
002774,1985.0,1.0
002774,1986.0,1.0
002774,1987.0,1.0
002774,1988.0,1.0
002774,1989.0,1.0
002837,1983.0,1.0
002837,1984.0,1.0
002837,1985.0,1.0
002837,1986.0,1.0
002841,1979.0,1.0
002841,1980.0,1.0
002841,1981.0,1.0
002841,1982.0,1.0
002841,1983.0,1.0
002841,1984.0,1.0
002873,1982.0,1.0
002880,1976.0,1.0
002880,1977.0,1.0
002880,1978.0,1.0
002880,1979.0,1.0
002880,1980.0,1.0
002880,1981.0,1.0
002880,1982.0,1.0
002880,1983.0,1.0
002880,1984.0,1.0
002896,1984.0,1.0
002896,1985.0,1.0
002896,1986.0,1.0
002896,1987.0,1.0
002896,1988.0,1.0
002896,1989.0,1.0
002896,1990.0,1.0
002896,1991.0,1.0
002896,1992.0,1.0
002896,1993.0,1.0
002896,1994.0,1.0
002929,1978.0,1.0
002929,1979.0,1.0
002929,1980.0,1.0
002929,1981.0,1.0
002929,1982.0,1.0
002929,1983.0,1.0
002929,1984.0,1.0
002929,1985.0,1.0
002929,1986.0,1.0
002929,1987.0,1.0
002929,1988.0,1.0
002929,1989.0,1.0
002929,1990.0,1.0
002929,1991.0,1.0
002929,1992.0,1.0
002929,1993.0,1.0
002929,1994.0,1.0
002929,1995.0,1.0
002929,1996.0,1.0
002929,2002.0,1.0
002929,2003.0,1.0
002929,2004.0,1.0
002929,2005.0,1.0
002930,1984.0,0.8163265306122449
002930,1990.0,1.0
002930,1991.0,1.0
002930,1992.0,1.0
002930,1993.0,1.0
002930,1994.0,1.0
003032,1980.0,1.0
003032,1981.0,1.0
003032,1982.0,1.0
003032,1983.0,0.9005264616237185
003032,1985.0,0.8227665706051873
003032,1986.0,0.8825194621372966
003032,1988.0,0.8426229508196721
003032,1989.0,0.967877094972067
003032,1990.0,0.9742765273311896
003032,1991.0,0.9892787524366473
003032,1992.0,1.0
003032,1993.0,1.0
003032,1994.0,0.9636363636363636
003034,1981.0,0.8459495351925631
003034,1982.0,0.808257674016429
003034,1983.0,1.0
003034,1984.0,1.0
003034,1985.0,1.0
003052,1981.0,1.0
003052,1982.0,1.0
003052,1983.0,1.0
003052,1984.0,1.0
003052,1985.0,1.0
003052,1986.0,1.0
