stype,tic,gvkey,sic,snms,sales,fyear
BUSSEG,HES,001380,1311,Bakken Midstream,0.0,2015.0
BUSSEG,HES,001380,1311,Exploration & Production,4755.0,2016.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2016.0
BUSSEG,HES,001380,1311,Midstream,7.0,2016.0
BUSSEG,HES,001380,1311,Bakken Midstream,0.0,2016.0
BUSSEG,HES,001380,1311,Exploration & Production,5460.0,2017.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2017.0
BUSSEG,HES,001380,1311,Midstream,6.0,2017.0
BUSSEG,HES,001380,1311,Exploration & Production,6323.0,2018.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2018.0
BUSSEG,HES,001380,1311,Midstream,0.0,2018.0
BUSSEG,HES,001380,1311,Exploration & Production,6495.0,2019.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2019.0
BUSSEG,HES,001380,1311,Midstream,0.0,2019.0
BUSSEG,HES,001380,1311,Exploration & Production,4667.0,2020.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2020.0
BUSSEG,HES,001380,1311,Midstream,0.0,2020.0
BUSSEG,HES,001380,1311,Exploration & Production,7473.0,2021.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2021.0
BUSSEG,HES,001380,1311,Midstream,0.0,2021.0
BUSSEG,HES,001380,1311,Exploration & Production,11324.0,2022.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2022.0
BUSSEG,HES,001380,1311,Midstream,0.0,2022.0
BUSSEG,HES,001380,1311,Exploration & Production,10500.0,2023.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2023.0
BUSSEG,HES,001380,1311,Midstream,11.0,2023.0
BUSSEG,HES,001380,1311,Exploration & Production,12869.0,2024.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2024.0
BUSSEG,HES,001380,1311,Midstream,27.0,2024.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2024.0
BUSSEG,2567B,001438,1311,OIL & GAS,0.935,1977.0
BUSSEG,2567B,001438,1311,OIL & GAS,1.173,1978.0
BUSSEG,2351B,001443,1311,WIND TURBINES,0.025,1977.0
BUSSEG,2351B,001443,1311,WIND TURBINES,0.02,1978.0
BUSSEG,2351B,001443,1311,WIND TURBINES,0.0,1979.0
BUSSEG,2351B,001443,1311,WIND TURBINES,0.0,1980.0
BUSSEG,2351B,001443,1311,OIL & GAS,0.022,1981.0
BUSSEG,2351B,001443,1311,OIL & GAS,0.184,1982.0
BUSSEG,2351B,001443,1311,OIL & GAS,0.092,1983.0
BUSSEG,AX.1,001446,1311,OIL & GAS ONSHORE,1.037,1983.0
BUSSEG,AX.1,001446,1311,OIL & GAS ONSHORE,3.943,1984.0
BUSSEG,AX.1,001446,1311,OIL & GAS ONSHORE,10.423,1985.0
BUSSEG,AX.1,001446,1311,OIL & GAS ONSHORE,13.081,1986.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,22.928,1987.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,36.581,1988.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,44.04,1989.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,55.772,1990.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,76.248,1991.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,61.317,1992.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,65.052,1993.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,50.249,1994.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,71.704,1995.0
BUSSEG,AX.1,001446,1311,OIL & GAS ON & OFFSHORE,76.509,1996.0
BUSSEG,AFEXV,001461,1311,OIL & GAS,0.562,1980.0
