gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
001961,1978.0,2.091,2.091,1.0
001961,1979.0,2.297,2.297,1.0
001961,1980.0,15.751,15.751,1.0
001961,1981.0,14.786,14.786,1.0
001984,1981.0,0.142,0.142,1.0
001984,1982.0,0.232,0.232,1.0
001984,1983.0,0.089,0.089,1.0
001984,1984.0,0.039,0.039,1.0
001984,1985.0,0.027,0.027,1.0
001985,1979.0,1.721,1.721,1.0
001985,1980.0,2.663,2.663,1.0
001985,1981.0,3.239,3.239,1.0
002052,1977.0,3.939,3.939,1.0
002052,1978.0,5.1419999999999995,0.81,0.1575262543757293
002052,1979.0,5.422000000000001,1.177,0.21707856879380302
002052,1980.0,7.134,2.488,0.34875245304177177
002052,1981.0,11.8,6.251,0.5297457627118644
002052,1982.0,14.181,4.718,0.33269868133417957
002052,1983.0,16.928,4.848,0.2863894139886578
002052,1984.0,2.96,2.62,0.8851351351351352
002052,1985.0,4.566,4.566,1.0
002052,1986.0,2.91,1.98,0.6804123711340205
002052,1987.0,11.139999999999999,1.77,0.15888689407540396
002052,1988.0,12.329999999999998,1.96,0.15896188158961883
002052,1989.0,24.601,14.831,0.6028616722897443
002052,1990.0,40.109,30.239,0.7539205664564063
002052,1991.0,19.43,9.32,0.47967061245496656
002052,1992.0,22.515,12.285,0.5456362425049966
002052,1993.0,16.22,4.97,0.3064118372379778
002052,1994.0,19.799999999999997,5.85,0.29545454545454547
002052,1995.0,14.709999999999999,3.965,0.26954452753229097
002052,1996.0,14.027000000000001,2.938,0.20945319740500462
002052,1997.0,14.553,2.373,0.16305916305916307
002052,1998.0,11.83,1.69,0.14285714285714285
002052,1999.0,15.028,4.237,0.2819403779611392
002052,2000.0,26.221,10.175,0.3880477479882537
002052,2001.0,23.761,3.397,0.14296536341063087
002052,2002.0,15.618,3.766,0.24113202714816237
002052,2003.0,23.340000000000003,3.42,0.14652956298200512
002052,2004.0,37.864,14.051,0.37109127403338266
002052,2005.0,44.06700000000001,10.803,0.24514943154741642
002052,2006.0,56.873999999999995,18.425,0.3239617399866372
002052,2007.0,47.121,11.896,0.2524564419261051
002052,2008.0,65.386,15.211,0.23263389716453065
002052,2009.0,32.104,6.468,0.20147022177921756
002052,2010.0,41.851,12.413,0.2965998422976751
002052,2011.0,38.421,7.64,0.1988495874651883
002052,2012.0,34.04,8.892,0.26122209165687427
002052,2013.0,24.563000000000002,2.643,0.10760086308675648
002052,2014.0,28.017,6.924,0.2471356676303673
002052,2015.0,0.0,0.0,
002052,2016.0,13.581000000000001,10.226,0.7529636992857669
002052,2017.0,12.937000000000001,8.444,0.6527015536832341
002052,2018.0,9.206,5.418,0.5885292200738649
002052,2019.0,12.013,5.515,0.4590859901773079
002052,2020.0,18.329,11.325,0.6178733155109389
